time,Bx,By,Bz,BT
8.802,15.18,-1.32,1.14,15.28
8.829,15.18,-1.26,1.14,15.27
8.841,15.18,-1.20,1.20,15.27
8.862,15.18,-1.14,1.20,15.27
8.882,15.18,-1.08,1.20,15.27
8.902,15.18,-1.02,1.20,15.26
8.928,15.18,-1.02,1.14,15.26
8.943,15.18,-1.02,1.08,15.25
8.964,15.18,-1.02,1.02,15.25
8.986,15.18,-1.02,0.96,15.24
9.004,15.18,-1.02,0.90,15.24
9.022,15.12,-1.02,0.84,15.18
9.042,15.12,-1.02,0.78,15.17
9.063,15.12,-1.02,0.72,15.17
9.085,15.06,-1.02,0.72,15.11
9.105,15.06,-1.02,0.72,15.11
9.129,15.00,-1.02,0.72,15.05
9.148,15.00,-1.02,0.72,15.05
9.169,15.00,-1.02,0.72,15.05
9.190,15.00,-1.02,0.72,15.05
9.211,15.00,-1.02,0.72,15.05
9.239,15.00,-1.02,0.66,15.05
9.250,15.00,-1.02,0.66,15.05
9.270,15.00,-1.02,0.60,15.05
9.291,15.00,-1.02,0.54,15.04
9.311,15.00,-1.02,0.54,15.04
9.331,15.00,-1.02,0.48,15.04
9.352,15.00,-1.02,0.42,15.04
9.372,15.00,-1.02,0.42,15.04
9.393,15.00,-1.02,0.42,15.04
9.428,14.94,-1.02,0.42,14.98
9.433,14.94,-1.02,0.42,14.98
9.451,14.94,-1.02,0.42,14.98
9.471,14.88,-1.02,0.42,14.92
9.492,14.88,-1.02,0.42,14.92
9.521,14.82,-1.02,0.42,14.86
9.531,14.82,-1.02,0.42,14.86
9.552,14.82,-1.02,0.42,14.86
9.572,14.82,-1.02,0.42,14.86
9.593,14.82,-1.02,0.42,14.86
9.626,14.82,-1.02,0.42,14.86
9.633,14.82,-1.02,0.48,14.86
9.653,14.82,-1.02,0.54,14.86
9.673,14.82,-1.08,0.60,14.87
9.695,14.82,-1.14,0.66,14.88
9.721,14.82,-1.20,0.78,14.89
9.736,14.82,-1.26,0.84,14.90
9.771,14.82,-1.32,0.90,14.91
9.776,14.82,-1.38,0.96,14.92
9.797,14.88,-1.44,0.96,14.98
9.816,14.88,-1.50,0.96,14.99
9.845,14.94,-1.50,0.96,15.05
9.866,14.94,-1.44,0.96,15.04
9.887,14.94,-1.32,0.90,15.03
9.903,14.94,-1.32,0.90,15.03
9.930,14.94,-1.26,0.90,15.02
9.950,14.94,-1.20,0.78,15.01
9.967,14.94,-1.14,0.72,15.00
9.987,14.88,-1.14,0.66,14.94
10.007,14.82,-1.08,0.66,14.87
10.046,14.82,-1.14,0.60,14.88
10.047,14.76,-1.20,0.60,14.82
10.068,14.76,-1.26,0.54,14.82
10.086,14.76,-1.26,0.54,14.82
10.106,14.76,-1.32,0.60,14.83
10.129,14.70,-1.44,0.60,14.78
10.152,14.70,-1.50,0.60,14.79
10.169,14.70,-1.56,0.60,14.79
10.186,14.70,-1.62,0.60,14.80
10.207,14.70,-1.68,0.60,14.81
10.226,14.70,-1.68,0.60,14.81
10.247,14.70,-1.68,0.60,14.81
10.268,14.70,-1.68,0.60,14.81
10.287,14.70,-1.68,0.60,14.81
10.308,14.70,-1.68,0.60,14.81
10.330,14.70,-1.68,0.60,14.81
10.350,14.70,-1.68,0.60,14.81
10.371,14.70,-1.68,0.60,14.81
10.391,14.70,-1.68,0.60,14.81
10.429,14.76,-1.68,0.60,14.87
10.431,14.76,-1.68,0.60,14.87
10.454,14.76,-1.68,0.60,14.87
10.472,14.76,-1.68,0.60,14.87
10.492,14.76,-1.68,0.60,14.87
10.513,14.76,-1.68,0.60,14.87
10.540,14.76,-1.68,0.60,14.87
10.557,14.76,-1.68,0.60,14.87
10.579,14.70,-1.68,0.60,14.81
10.602,14.70,-1.68,0.60,14.81
10.622,14.70,-1.68,0.60,14.81
10.658,14.70,-1.68,0.60,14.81
10.666,14.70,-1.68,0.54,14.81
10.683,14.70,-1.68,0.54,14.81
10.704,14.70,-1.62,0.54,14.80
10.724,14.70,-1.62,0.48,14.80
10.746,14.70,-1.62,0.48,14.80
10.763,14.70,-1.56,0.42,14.79
10.785,14.70,-1.56,0.42,14.79
10.805,14.70,-1.50,0.42,14.78
10.822,14.70,-1.50,0.42,14.78
10.857,14.70,-1.50,0.42,14.78
10.860,14.70,-1.50,0.42,14.78
10.880,14.70,-1.50,0.42,14.78
10.902,14.70,-1.50,0.42,14.78
10.922,14.70,-1.44,0.42,14.78
10.946,14.70,-1.38,0.42,14.77
10.962,14.70,-1.32,0.42,14.77
10.981,14.70,-1.26,0.42,14.76
11.004,14.70,-1.26,0.42,14.76
11.022,14.70,-1.20,0.42,14.75
11.048,14.70,-1.14,0.42,14.75
11.067,14.70,-1.14,0.42,14.75
11.087,14.70,-1.14,0.42,14.75
11.107,14.70,-1.20,0.42,14.75
11.129,14.76,-1.26,0.42,14.82
11.150,14.94,-1.32,0.42,15.00
11.175,15.06,-1.32,0.42,15.12
11.188,15.18,-1.38,0.42,15.25
11.208,15.30,-1.44,0.48,15.38
11.248,15.42,-1.50,0.48,15.50
11.249,15.54,-1.50,0.54,15.62
11.269,15.66,-1.50,0.48,15.74
11.289,15.78,-1.50,0.48,15.86
11.309,15.66,-1.44,0.48,15.73
11.341,15.54,-1.38,0.48,15.61
11.349,15.48,-1.32,0.48,15.54
11.370,15.42,-1.26,0.48,15.48
11.391,15.36,-1.20,0.42,15.41
11.412,15.24,-1.14,0.42,15.29
11.438,15.12,-1.08,0.42,15.16
11.451,15.06,-1.08,0.42,15.10
11.483,15.00,-1.08,0.42,15.04
11.492,14.94,-1.14,0.42,14.99
11.513,14.94,-1.14,0.42,14.99
11.539,14.94,-1.14,0.42,14.99
